sys_id,shelfmark,lib,catalog_title,work_id,cat,genre,author,work,mesirah,pages,p_test,p_part,p_cit,letters,best_cov,best_density,cls,tier
990051567400205171,Cambridge University Library Ms. T-S NS 192.40,CUL,,M:Ytext656000,Maagarim,ספרות הקראים,מחבר לא ידוע,סדר תפילה קראי,"Cambridge, University Library, T-S Collection, Misc. 35, 85",1,0,0,1,114,0.095,0.3277,citation,
990001444570205171,Ms. EVR II A 1006,RNL,סדור מנהג קראים.,M:Ytext774000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,אסתר רבה ז-י,,1,0,1,0,114,0.155,0.2719,partial,
990001460090205171,Ms. EVR II A 2484,RNL,פיוטים כמנהג קראים לסוכות.,M:Ytext80028,Bavli,תלמוד ומדרש,מחבר לא ידוע,"תלמוד בבלי, סוטה",,1,0,0,1,114,0.111,0.307,citation,
990001399110205171,Cambridge University Library Ms. Add. 3369,CUL,תפלות לראש השנה.,M:Ytext903002,Maagarim,פיוט ותפילה,יניי,"קדושתות לשבתות השנה, שמות",,1,0,1,0,114,0.329,0.3333,partial,
990053434130205171,MS heb. e.38/124,Oxford,"פיוט. ; פיוט (בקשה ליום הכיפורים): ""שמע קולי""[withהעונה] (פזמון: ""זמן הזה צור הגיענו"" לראש השנה): ""שירו ילדי אמוני"" (מעמד לראש השנה): ""שלח מלאך מליץ"" (פזמון לראש השנה): ""דלתיך הלילה"" לראש השנה): "".בינו אל ארך אפים"" לראש השנה): ""אל חסדך יחלנו"" (קדושתא לראש השנה): ""ובכן... אריד בשיחי ואהמה""[מסתגאב] לראש השנה): ""אנא בקראנו לקול שוענו"" (סליחות לראש השנה): ""שטר עלי"" לראש השנה): ""משתחוים"" (סליחות ליום הכיפורים): ""שומע תפילה""[with רחמנא] (סליחות ליום הכיפורים): ""אנשי אמונה""[with תמהנו; אל מלך; חטאים] (סליחות ליום הכיפורים): ""אדיר ונאור"" ליום הכיפורים): ""רומם לאל המפליא""תהלים""יה צורי ואור נירי""ברוך אל אדיר במרומים""[לברוך שאמר]""אשתחוה אפים ארצה""בקראי ענני אלהי צדקי""אלהי אל תדינני במעלי"" (רשות: ""אלהים אלי אתה אשחרך""נשמת אסירי עונות""יה שמך ארוממך""[פזמון לישתבח]""יסוד היסוד וסוד הסוד""[לקדיש]""ידי רשים נחלשים""[לקדיש]""ברכי אצולה מרוח הקודש""[לברכו]""יוצר רוח אדם""[אל אדון]""שני פעמים מקוימים""תפילת יוצר""ליושב תהלות""אלהים אל מי אמשילך""יי צבאות שם כבוד מלכותך""ראש הממשלה הראשונה""אין קדוש כיי כי אין בלתו""רשע יגוני ממך לא נעלם""אדיר ונאור""שחר קמתי להודות""[מעמד לשחרית פזמון שלמה]""היום תישע שוחריך""למענך אלהי""יענה כבוד אבות""יום צעקו שבים""יצו האל לדל שואל""אל בית המלך לבוא נקראתי"" (סליחות: ""תקרב ותרצה ותבחר""[with רחמנא to אלהינו שבשמים]""עת שערי רצון להפתח""ארץ התמוטטה, במרומי ערץ""אערוך מדברי דתי"" (רשות: ""ארוממך חזקי"" (Gabirol)""אתה כוננת""רשע צופה כל נעלם""[וידוי גדול]""נאור מקור... אין מטיב בלתך""שמם הר ציון""יה להלל ביום ובליל""אל מעמדי שבתי""יערב לפניך כמו קרבן"" (קדושתא: ""ובכן הוא רחום... והוא ידין""[מסתגאב] (סליחות: ""יוספים שנית"" (סליחות: ""שעה קולי בהתעטפי""ישראל עבדיך לפניך נאספים"" (סליחות: ""עת שערי רצון: מנחה""[cf folio 74]""ובכן ...גבהי שמים""ובכן... אנשי חסד הנושאים""מעמד: קראתי מצרה""יחיד אלהי אמן"" (סליחות: ""רצה רנת מתודים"" (קדושתא: ""אסיר בכלי מצוקה""[מסתגאב]""אימות עלי נפלו""עינינו צופיה""שכחי יגונך""יה שמע אביונך""אנא כעב זדוני"" (סליחות: ""מרום וקדוש שעה"" (סליחות: ""זכור נא אלוהינו""בן אדמה יזכור""שוכני בתי חמר""; תפילות קבע: מוסף",M:Ytext273001,Maagarim,ספרות רבנית,יעקב בן אשר,"ארבעה טורים, אורח חיים",,1,0,1,0,114,0.313,0.3359,partial,
990051795120205171,Cambridge University Library Ms. T-S AS 18.128,CUL,מקרא [טקסט]. ; Bible: Psalms 127:2 – 130:2; 130:5 – 132:11 ; מקרא: תהילים קכז:ב – קל:ב; קל:ה – קלב:יא,M:Ytext280001,Maagarim,ספרות התרגומים מערבית,יהודה אבן תיבון,"ספר חובות הלבבות לבחיי אבן פקודה, תרגום",,1,0,1,0,114,0.229,0.3109,partial,
990051795120205171,Cambridge University Library Ms. T-S AS 18.128,CUL,מקרא [טקסט]. ; Bible: Psalms 127:2 – 130:2; 130:5 – 132:11 ; מקרא: תהילים קכז:ב – קל:ב; קל:ה – קלב:יא,J:26-בחיי-תורת-חובות-הלבבות,JA,ערבית יהודית,,"בחיי, תורת חובות הלבבות",,1,0,1,0,114,0.229,0.3109,partial,
990001460090205171,Ms. EVR II A 2484,RNL,פיוטים כמנהג קראים לסוכות.,M:Ytext586003,Maagarim,פיוט ותפילה,מחבר לא ידוע,סדר רחמין,,1,0,0,1,114,0.105,0.3246,citation,
990051381710205171,Cambridge University Library Ms. T-S Misc. 32.50,CUL,מקרא [טקסט]. ; דפוס. בראשית א:1-9.,M:Ytext1006001,Maagarim,ספרות מדע,פינחס אליהו הורביץ,"ספר הברית (חלק א, מאמרים א-ז)",,1,0,1,0,114,0.341,0.2269,partial,
990001565130205171,Ms. EVR ARAB I 4845,RNL,אלמקדמאת.,M:Ytext390045,Maagarim,איגרות,שלמה גאון בן יהודה,איגרת אל פוסטאט בעניין קבלת עשרה דינרים,"Mosseri Collection, Ia, 16",1,0,0,1,114,0.101,0.3421,citation,
997012281148305171,The National Library of Russia Box M.44,RNL,תפלה. מנהג קראים.,M:Ytext80023,Bavli,תלמוד ומדרש,מחבר לא ידוע,"תלמוד בבלי, חגיגה",,1,0,0,1,114,0.113,0.3421,citation,
990001461990205171,Ms. EVR II A 2654,RNL,סדור מנהג קראים.,J:44-נתנאל-בן-פיומי-גן-השכלים,JA,ערבית יהודית,,"נתנאל בן פיומי, גן השכלים",,1,0,1,0,114,0.182,0.2759,partial,
990001455180205171,Ms. EVR II A 2033,RNL,סדור מנהג קראים לשבת.,M:Ytext774000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,אסתר רבה ז-י,,1,0,0,1,114,0.134,0.2719,citation,
990001464910205171,Ms. EVR II A 2945,RNL,תפלות מנהג קראים (קטעים).,J:06-רסג-הנבחר-באמונות-ודעות,JA,ערבית יהודית,,"רס""ג, הנבחר באמונות ודעות",,1,0,1,0,114,0.204,0.307,partial,
990001428290205171,Ms. EVR II A 29,RNL,סדור מנהג קראים.,M:Ytext75000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,פסיקתא דרב כהנא,,1,0,0,1,114,0.075,0.2982,citation,
990001428290205171,Ms. EVR II A 29,RNL,סדור מנהג קראים.,M:Ytext80023,Bavli,תלמוד ומדרש,מחבר לא ידוע,"תלמוד בבלי, חגיגה",,1,0,0,1,114,0.083,0.3333,citation,
990051635820205171,Cambridge University Library Ms. T-S NS 267.233,CUL,,M:Ytext633000,Maagarim,ספרות הגאונים,מחבר לא ידוע,הלכות ״ראו״,,1,0,0,1,114,0.102,0.307,citation,
