cluster,sys_id,library,title
1659,990051072700205171,CUL,אדב אלקצ'א; הלכה; ספרות הלכתית ופרשנות תלמודית; תעודות אישיות ושטרות. ; Documents: Document forms ; תעודות אישיות ושטרות: טופסי שטרות
1664,990001748410205171,Toronto,"תלמוד בבלי סדר מועד (שבת ב ע""ב-טו ע""ב)."
1664,990001996710205171,Toronto,"תלמוד בבלי סדר מועד (שבת יח ע""ב-מז ע""ב)."
1668,990001832720205171,?,קטעי גניזה.
1668,990051233920205171,CUL,"כתאב אלאימאן [דוד בן סעדיה];כתאב אלאימאן [רשב""ח];פירושי תלמוד בבלי. ; דוד בן סעדיה אלגר, כתאב אלאימאן [דוד בן סעדיה]: כ"
1671,990001839260205171,?,קטעי מקרא : ; גניזה מאוסף גסטר.
1671,990051179560205171,CUL,תלמוד ירושלמי (חלה ג-ד).
1675,990001863480205171,BL,מדרש דוד (לך לך).
1675,990025031720205171,NLI,מדרש דוד (פרשת לך לך).
1678,990001904720205171,Katz,פרדס רמונים (קטע).
1678,990053043840205171,JTS,זוהר. ; קטעי זוהר
1679,990001925780205171,Strasbourg,קובץ קטעי מקרא.
1679,990053953820205171,Strasbourg,מקרא [טקסט].
1680,990001926470205171,Strasbourg,קבץ קטעי גניזה.
1680,990053965200205171,Strasbourg,"מפתחות;משנה תורה. ; מפתח לתלמוד ע""ס משנה תורה להרמב""ם, לקידושין פ""ג - פ""ד"
1682,990001932930205171,Katz,"כתובים (משלי לא:כ-לא:לא, איוב א:א-א:יח) : ; עם ניקוד והטעמה."
1682,990051662010205171,CUL,מקרא;מקרא [טקסט]. ; Bible: Proverbs 31:22 – 31 ; מקרא: משלי לא:כב – לא
1684,990001934550205171,Katz,"חדושי הרמב""ן (נדה)."
1684,990043747590205171,Katz,קטע.
1685,990001935970205171,Katz,כתאב אלאימאן (קטע).
1685,997008595470105171,Katz,חוברת פיוטים.
1695,990001955050205171,JTS,קטעי גניזה.
1695,990053617180205171,JTS,"הלכות גדולות;ויקרא רבה;מפתחות;ספרות הלכתית ופרשנות תלמודית;פירושי תלמוד בבלי;פרשנות מקרא. ; הלכות גדולות, הלכות כתובות (ח""ב ע' 292-291)"
1700,990001962940205171,HAS,"הלכות הרי""ף (תענית, ה ע""א-ו ע""א)."
1700,990051165170205171,CUL,"הלכות הרי""ף;רי""ף ופרושיו;תלמוד בבלי [טקסט]. ; Isaac Al-Fasi, Hilkhot ha-Rif: Ta'anit 5 b ; יצחק אלפסי, הלכות הרי""ף: תענית ה ע""ב"
1702,990001964560205171,RNL,תורה (קטעים).
1702,990051861890205171,CUL,מקרא [טקסט]. ; Exodus 7:19-29
1711,990001970420205171,RNL,תורה (קטעים).
1711,990051400690205171,CUL,
1714,990001989730205171,CUL,סדור מנהג ארצות המזרח בערבית (קטע) : ; קטעי גניזה.
1714,990051096420205171,CUL,"כתאב ג'אמע אלצלואת ואלתסאביח; שירת חול. ; Liturgical; Siddur RSG, pp. 253-55."
1723,990002017100205171,Mosseri,עם ה' הומנחה לכם כיום בשורה.
1723,990051465090205171,CUL,פיוט. ; Piyyut
1728,990002030570205171,Mosseri,פיוטים להבדלה.
1728,990052332400205171,CUL,
1735,990002035620205171,Mosseri,סליחות.
1735,990002035650205171,Mosseri,אשר בגלל אבות בנים גדל (ההתחלה).
1738,990002081470205171,Manchester,"פרוש התורה לרש""י (שמות כו:כג; כו:כו)."
1738,990053422970205171,Oxford,"Doubtful if genizah, Identifications' details are currently unavailable ; ספק גניזה, אין בידנו לעת עתה פרטים על תוכנו של הקטע"
1741,990024965840205171,NLI,עמידה לימים נוראים (קטע).
1741,990051537760205171,CUL,"מקרא ותרגומים;פיוט;תפילה וברכות;תפילות קבע. ; Common Prayers: Amidah (Ritual: Eretz Israel) ; תפילות קבע: ימים נוראים עמידה (מנהג: א""י)"
1745,990025013420205171,NLI,בצל שדי אחסה.
1745,990051409770205171,CUL,
1752,990025304550205171,Columbia,התר שחיטה בעד דניאל בן אברהם משה ליאון.
1752,990025304750205171,Columbia,דרשות.
1759,990025903540205171,BL,קבץ קטעי גניזה בערבית.
1759,990053520770205171,BL,סיפורים?
1766,990034329950205171,Columbia,חבור בדיני כשרות מן החי : ; בערבית יהודית.
1766,990051702270205171,CUL,"הלכה; כתאב אלטריפות; ספרות הלכתית ופרשנות תלמודית; ספרות חז""ל. ; Halakhic Literature and Talmudic Commentaries ; הלכות שחיטה על פי מקורות תלמודיים."
1769,990035093930205171,NLI,"תלמוד בבלי סדר זרעים (ברכות ה ע""ב)."
1769,990053121370205171,JTS,"תלמוד בבלי [טקסט]. ; Talmud Bavli: Berakhot 5 b ; תלמוד בבלי: ברכות ה ע""ב"
1776,990037932710205171,JTS,"קובץ תלמוד ורי""ף."
1776,990053615410205171,JTS,"הלכות הרי""ף. ; Isaac Al-Fasi, Hilkhot ha-Rif: Shabbat 30 b – 31 b ; יצחק אלפסי, הלכות הרי""ף: שבת ל ע""ב – לא ע""ב"
1778,990038407550205171,CUL,פיוטים לשערי ירושלים.
1778,990053950610205171,Strasbourg,מקרא [טקסט].
1781,990038861910205171,Geneva,כתובים (תהלים קכו:ג-קלט כא).
1781,990053941120205171,HUC,
1785,990039178990205171,RNL,"פרוש הלכות הרי""ף (חולין פרק ד) : ; כולל פרוש המשנה פרק ד."
1785,990039180030205171,RNL,טור (ארח חיים תקנא-תקנב).
1795,990040842920205171,RNL,חבור במוסר בערבית (קטע).
1795,990053600410205171,JTS,"דלאלה אלחאירין;פילוסופיה. ; Moses b. Maimon, Rambam, Guide for the Perplexed (Arabic): 3:12 ; משה בן מימון, דלאלה אלחאירין: ג:יב"
1809,990041018730205171,RNL,חבור בערבית יהודית (קטע). :.
1809,990053404120205171,Oxford,מדרש מאוחר ודרשות. ; An Arabic treatise on the manner of killing animals for food
1829,990043987940205171,AIU,בקשות ותוכחות (קטע).
1829,990051571400205171,CUL,"תפילה וברכות. ; Saadiah b. Joseph al-Fayyumi (Saadiah Gaon), Occasional prayer: Baqqashot and Personal Prayers ; סעדיה בן יוסף גאון, תפילה מזדמנת: בקשות ותפילות אישיות"
1831,990044004400205171,AIU,סדור תפלה (קטע).
1831,990053463740205171,Oxford,משנה [טקסט];תפילות קבע. ; Mishnah: Makkot 3:15; Eduyyot 8:7 ; משנה: מכות ג:טו; עדיות ח:ז
1832,990044043420205171,RNL,חבור קראי בערבית יהודית (קטע).
1832,990044043510205171,RNL,סדר תפילות וקריאות לפסח בערבית יהודית (קטע).
1842,990044280600205171,AIU,הגדה של פסח.
1842,990051539410205171,CUL,מקרא ותרגומים;פיוט;תוספות של סידור;תפילה וברכות. ; Passover Haggada.
1851,990049108130205171,AIU,לקט בקבלה.
1851,990053493730205171,BL,
1857,990051072620205171,CUL,"הלכה; ספרות הלכתית ופרשנות תלמודית; שרח אל תורה [רשב""ח]. ; Laws of slavery"
1857,990051108650205171,CUL,"הלכה; כתאב אחכאם אלקנין; ספרות הלכתית ופרשנות תלמודית; ספרות חז""ל; שרח אל תורה [רשב""ח]. ; Halakhic Literature and Talmudic Commentaries ; שמואל בן חפני גאון, שרח אל תורה [רשב""ח]: דברים ראה טו:יג – יד"
1861,990051073850205171,CUL,כתאב ג'אמע אלצלואת ואלתסאביח; כתאב פי וג'וב אלצלוה; ספרות הלכתית ופרשנות תלמודית; תפילה וברכות. ; Saadiahs Siddur
1861,990053444900205171,Oxford,"סידור רס""ג"
1865,990051074360205171,CUL,"הלכה; כתאב אלנפקאת. ; שמואל בן חפני גאון, כתאב אלנפקאת: ו?"
1865,990053586920205171,JTS,"כתאב אלנפקאת. ; דין אשת כהן שמרדה על בעלה לעניין מזונות, דין אישה שאמרה 'איני ניזונת ואיני עושה, דין ספק מגורשת לעניין מזונות."
1868,990051075980205171,CUL,מכ'תצר הדאיה אלקאר; מקרא [טקסט]. ; אפשר ש T-S.Misc.1.5 מצטרף אליו.
1868,990052132420205171,CUL,"דקדוק. ; Grammatical work on masora and ta'ame ha-miqra (accents), quoting biblical sources (including Genesis 1:17; 2:4; 3:20)"
1870,990051076130205171,CUL,"דלאלה אלחאירין; מקרא [טקסט]. ; Moses b. Maimon, Rambam, Guide for the Perplexed (Arabic): 1:13 – 15; 21 ; משה בן מימון, דלאלה אלחאירין: א:יג – טו; כא"
1870,990051086620205171,CUL,"דלאלה אלחאירין; מורה נבוכים [תרגום שמואל אבן תיבון]; ספרות הגות (פילוסופיה, תיאולוגיה, מוסר); פילוסופיה. ; Moses b. Maimon, Rambam, Guide for the Perplexed (Hebrew): I:12 – 13"
1893,990051080010205171,CUL,"הלכות הרי""ף; תלמוד בבלי [טקסט]. ; Talmud Bavli: Shabbat 2 b – 3 b; 51 b – 52 b; 56 a – 57 a; 131 a; a – b ; תלמוד בבלי: שבת ב ע""ב – ג ע""ב; נא ע""ב – נב ע""ב; נו ע""א – נז ע""א; קלא ע""א; ע""א – ע""ב"
1893,990051726200205171,CUL,"הלכות הרי""ף;ספרות הלכתית ופרשנות תלמודית;ספרות חז""ל. ; Isaac Al-Fasi, Hilkhot ha-Rif: Shabbat 19 ; יצחק אלפסי, הלכות הרי""ף: שבת יט"
1897,990051080270205171,CUL,"שולחן ערוך. ; שולחן ערוך, אורח חיים. דפוס."
1897,990051685770205171,CUL,"או""ח סימן עה,ג - עט,ט"
