system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990001615190205171,,Yevr.-Arab. II 2317,RNL,,,,
990001619790205171,,Yevr.-Arab. II 2819,RNL,,,,
990001621170205171,,Yevr.-Arab. II 3002,RNL,,,,
990001621450205171,,Yevr.-Arab. II 3032,RNL,,,,
990001621510205171,,Yevr.-Arab. II 3039,RNL,,,,
990001621730205171,,Yevr.-Arab. II 3061,RNL,,,,
990001622330205171,,Yevr.-Arab. II 3127,RNL,,,,
990001622980205171,,Yevr.-Arab. II 3206,RNL,,,,
990001623150205171,,Yevr.-Arab. II 3227,RNL,,,,מקרא [טקסט]
990001624110205171,,Yevr.-Arab. II 3330,RNL,,,,
990001624580205171,,Yevr.-Arab. II 3383,RNL,,,,
990001624640205171,,Yevr.-Arab. II 3389,RNL,,,,
990001624650205171,,Yevr.-Arab. II 3391,RNL,,,,
990001624660205171,,Yevr.-Arab. II 3392,RNL,,,,
990001624670205171,,Yevr.-Arab. II 3393,RNL,,,,
990001624680205171,,Yevr.-Arab. II 3394,RNL,,,,
990001624690205171,,Yevr.-Arab. II 3395,RNL,,,,
990001624700205171,,Yevr.-Arab. II 3396,RNL,,,,
990001624930205171,,Yevr.-Arab. II 3421,RNL,,,,
990001624940205171,,Yevr.-Arab. II 3422,RNL,,,,
990001624950205171,,Yevr.-Arab. II 3423,RNL,,,,
990001624960205171,,Yevr.-Arab. II 3424,RNL,,,,
990001624970205171,,Yevr.-Arab. II 3425,RNL,,,,
990001624980205171,,Yevr.-Arab. II 3427,RNL,,,,
990001624990205171,,Yevr.-Arab. II 3428,RNL,,,,מדרש דוד הנגיד
990001625000205171,,Yevr.-Arab. II 3430,RNL,,,,
990001625120205171,,MS heb. e.52,Oxford,,,,תלמוד בבלי [טקסט]
990001628570205171,,MS heb. e.75/2,Oxford,,,,
990001635020205171,,MS georg. c.1(P)/1,Oxford,,,,תלמוד ירושלמי [טקסט]
990001637180205171,,MS heb. d.36/23 | MS heb. d.36/24,Oxford,,,,"כתאב אלשראיע [רס""ג]"
990001637980205171,,MS heb. e.45/65 | MS heb. e.45/66 | MS heb. e.45/67 | MS heb. e.45/68,Oxford,,,,"כתאב אלשראיע [רס""ג]"
990001660270205171,,Yevr. III B 67,RNL,,,,מקרא [טקסט]
990001662950205171,,Yevr. III B 397,RNL,,,,מקרא [טקסט]
990001664240205171,,Halper 77,Katz,,,,משנה [טקסט]
990001664840205171,,Yevr. III B 595,RNL,,,,מקרא [טקסט]
990001664970205171,,Yevr. III B 608,RNL,,,,מקרא [טקסט]
990001665480205171,,Yevr. III B 659,RNL,,,,
990001669300205171,,Yevr. III B 1090 | Yevr. III B 1090(lost),RNL,,,,
990001669870205171,,Yevr. III B 1152,RNL,,,,
990001669900205171,,Yevr. III 1155,RNL,,,,
990001696110205171,,H 5,Vienna,,,,משנה [טקסט]
990001696180205171,,H 12,Vienna,,,,מקרא [טקסט]
990001696250205171,,H 18,Vienna,,,,
990001696320205171,,H 24,Vienna,,,,
990001696410205171,,H 32,Vienna,,,,
990001696650205171,,H 86,Vienna,,,,
990001696800205171,,H 99,Vienna,,,,
990001696970205171,,H 116,Vienna,,,,
990001697010205171,,H 119,Vienna,,,,מקרא [טקסט]
990001697070205171,,H 122,Vienna,,,,
990001697100205171,,H 123,Vienna,,,,
990001697130205171,,H 124,Vienna,,,,
990001697170205171,,H 125,Vienna,,,,
990001697400205171,,H 149,Vienna,,,,
990001697420205171,,H 150,Vienna,,,,
990001697800205171,,H 188,Vienna,,,,
990001707660205171,,P. Mich. Inv. 531,UMich,,,,
990001734700205171,,Mingana 9,Birmingham,,,,מקרא [טקסט]
990001734750205171,,Mingana 13,Birmingham,,,,
990001734760205171,,Mingana 14,Birmingham,,,,
990001734780205171,,Mingana 16,Birmingham,,,,
990001734790205171,,Mingana 17,Birmingham,,,,
990001734800205171,,Mingana 18,Birmingham,,,,
990001734820205171,,Mingana 19,Birmingham,,,,תלמוד בבלי [טקסט]
990001746910205171,,GEN B HAF 4,Haifa,,,,
990001746940205171,,GEN C 1,Haifa,,,,
990001746950205171,,GEN C 1,Haifa,,,,
990001746960205171,,GEN C 1,Haifa,,,,
990001746970205171,,GEN C 2,Haifa,,,,
990001746980205171,,GEN C 3,Haifa,,,,
990001747000205171,,GEN LT 1,Haifa,,,,
990001747010205171,,GEN LT 2,Haifa,,,,
990001747030205171,,GEN M 1,Haifa,,,,
990001748610205171,,Friedberg MSS 9-004/26,Toronto,,,,
990001756390205171,,Ms. or. qu. 943,SBB,,,,
990001756460205171,,Ms. or. qu. 943,SBB,,,,
990001768280205171,,Ms. 2,JCMainz,,,,
990001798140205171,,Ms 32,Mehlman,,,,
990001830090205171,,3381/49,InstFrance,,,,
990001832780205171,,"Moss. III,28 | Moss. III,29 | Moss. III,34 | Moss. III,35 | Moss. III,37",Mosseri,,,,"הלכות הרי""ף"
990001833100205171,,"Moss. VI,49",Mosseri,,,,
990001833110205171,,"Moss. V,205",Mosseri,,,,
990001833170205171,,R 15,Mosseri,,,,
990001842270205171,,L-G Talm.I.17,Westminster,,,,
990001842450205171,,L-G Talm.I.43,Westminster,,,,מקרא [טקסט]
990001842540205171,,L-G Talm.I.60,Westminster,,,,"פירוש רש""י למקרא"
990001842640205171,,L-G Talm.I.76,Westminster,,,,משנה תורה
990001842720205171,,L-G Talm.I.90,Westminster,,,,
990001842780205171,,L-G Talm.I.96,Westminster,,,,משנה [טקסט]
990001842840205171,,L-G Talm.I.102,Westminster,,,,משנה [טקסט]
990001842870205171,,L-G Talm.I.107,Westminster,,,,משנה [טקסט]
990001842900205171,,L-G Talm.I.110,Westminster,,,,
990001843230205171,,L-G Talm.II.21,Westminster,,,,
990001843260205171,,L-G Talm.II.24,Westminster,,,,
990001843290205171,,L-G Talm.II.29,Westminster,,,,תלמוד בבלי [טקסט]
990001843500205171,,L-G Talm.II.54,Westminster,,,,תלמוד בבלי [טקסט]
990001843510205171,,L-G Talm.II.55,Westminster,,,,
990001843590205171,,L-G Talm.II.70,Westminster,,,,תלמוד בבלי [טקסט]
990001843880205171,,L-G Talm.II.119,Westminster,,,,
990001843930205171,,L-G Talm.II.124,Westminster,,,,
990001847130205171,,"MS Heb. 29.2, fol. 1 | MS Heb. 29.2, fol. 2",Harvard,,,,"הלכות הרי""ף"
990001933390205171,,Halper 75,Katz,,,,משנה [טקסט]
990001933420205171,,Halper 79,Katz,,,,משנה [טקסט]
990001937000205171,,RAR MS 85.126.35,Katz,,,,
990001937540205171,,NS15,Katz,,,,משנה תורה
990001954770205171,,ebr. 530,Vatican,,,,תלמוד בבלי [טקסט]
990001959600205171,,191,HAS,,,,משנה תורה
990001959630205171,,Fr. 27/26,Lehmann,,,,
990001959680205171,,193,HAS,,,,
990001959900205171,,204,HAS,,,,משנה תורה
990001960810205171,,314,HAS,,,,
990001961430205171,,347,HAS,,,,
990001961460205171,,348,HAS,,,,
990001961500205171,,350,HAS,,,,
990001961600205171,,354,HAS,,,,
990001961770205171,,369,HAS,,,,
990001961800205171,,371,HAS,,,,
990001961880205171,,378,HAS,,,,
990001961920205171,,379,HAS,,,,
990001961980205171,,381,HAS,,,,
990001962400205171,,398,HAS,,,,
990001962560205171,,420,HAS,,,,משנה [טקסט]
990001962670205171,,430,HAS,,,,תוספתא [טקסט]
990001963110205171,,AS 1,HAS,,,,זוהר
990001963150205171,,AS 3,HAS,,,,
990001963260205171,,AS 11,HAS,,,,כתאב אלטריפות
990001963280205171,,AS 12,HAS,,,,תלמוד בבלי [טקסט]
990001977970205171,,705,Schoeyen,,,,ספר העיטור
